epoch	lr	TrainLoss	Clean_TestMAE	Clean_TestMSE
0	0.001	0.0601	0.161	0.0409
1	0.001	0.0369	0.146	0.0352
2	0.001	0.0303	0.14	0.0324
3	0.001	0.0279	0.136	0.031
4	0.001	0.027	0.134	0.03
5	0.001	0.0262	0.13	0.0281
6	0.001	0.0238	0.123	0.0256
7	0.001	0.0225	0.121	0.0251
8	0.001	0.022	0.119	0.0242
9	0.001	0.0213	0.12	0.0245
10	0.001	0.0205	0.114	0.0226
11	0.001	0.0197	0.112	0.022
12	0.001	0.0194	0.112	0.0218
13	0.001	0.0189	0.112	0.0218
14	0.001	0.0184	0.108	0.0207
15	0.001	0.0182	0.108	0.0204
16	0.001	0.0179	0.106	0.02
17	0.001	0.0175	0.105	0.0195
18	0.001	0.0171	0.106	0.0196
19	0.001	0.0169	0.104	0.0193
20	0.001	0.0167	0.103	0.0188
21	0.001	0.0166	0.102	0.0187
22	0.001	0.0164	0.102	0.0184
23	0.001	0.0162	0.1	0.0179
24	0.001	0.0158	0.0999	0.0178
25	0.001	0.0156	0.0992	0.0176
26	0.001	0.0155	0.0987	0.0174
27	0.001	0.0153	0.0981	0.0172
28	0.001	0.0151	0.0972	0.017
29	0.001	0.015	0.0984	0.0173
30	0.001	0.0149	0.0963	0.0167
31	0.001	0.0147	0.0955	0.0165
32	0.001	0.0146	0.0949	0.0163
33	0.001	0.0145	0.0952	0.0164
34	0.001	0.0144	0.0949	0.0163
35	0.001	0.0142	0.0944	0.0161
36	0.001	0.0142	0.0935	0.0159
37	0.001	0.0141	0.0934	0.0159
38	0.001	0.014	0.0936	0.0158
39	0.001	0.0138	0.0925	0.0155
40	0.001	0.0138	0.0922	0.0155
41	0.001	0.0137	0.0921	0.0154
42	0.001	0.0135	0.0912	0.0152
43	0.001	0.0134	0.0906	0.015
44	0.001	0.0134	0.0924	0.0153
45	0.001	0.0132	0.0897	0.0147
46	0.001	0.013	0.0899	0.0147
47	0.001	0.013	0.0901	0.0147
48	0.001	0.0129	0.0894	0.0145
49	0.001	0.0129	0.089	0.0144
50	0.001	0.0128	0.0883	0.0142
51	0.001	0.0127	0.0881	0.0141
52	0.001	0.0125	0.0915	0.0149
53	0.001	0.0125	0.0886	0.0142
54	0.001	0.0125	0.0868	0.0138
55	0.001	0.0123	0.0885	0.0142
56	0.001	0.0123	0.0884	0.0141
57	0.001	0.0122	0.0873	0.0139
58	0.001	0.0122	0.0863	0.0136
59	0.001	0.0121	0.0871	0.0138
60	0.001	0.012	0.0884	0.0141
61	0.001	0.012	0.0855	0.0133
62	0.001	0.0119	0.0879	0.0139
63	0.001	0.012	0.0859	0.0135
64	0.001	0.0118	0.0854	0.0133
65	0.001	0.0119	0.0854	0.0133
66	0.001	0.0117	0.0851	0.0132
67	0.001	0.0117	0.0874	0.0137
68	0.001	0.0116	0.085	0.0132
69	0.001	0.0116	0.0856	0.0133
70	0.001	0.0115	0.0841	0.0129
71	0.001	0.0115	0.0839	0.0129
72	0.001	0.0114	0.0839	0.0129
73	0.001	0.0114	0.0837	0.0128
74	0.001	0.0113	0.083	0.0126
75	0.001	0.0112	0.0847	0.013
76	0.001	0.0111	0.0826	0.0125
77	0.001	0.011	0.0824	0.0124
78	0.001	0.011	0.0824	0.0124
79	0.001	0.011	0.0838	0.0127
80	0.001	0.0109	0.0819	0.0122
81	0.001	0.0108	0.0815	0.0121
82	0.001	0.0107	0.0814	0.0121
83	0.001	0.0107	0.0813	0.0121
84	0.001	0.0107	0.0811	0.012
85	0.001	0.0106	0.0806	0.0119
86	0.001	0.0106	0.081	0.012
87	0.001	0.0107	0.0814	0.012
88	0.001	0.0105	0.0806	0.0119
89	0.001	0.0105	0.0838	0.0126
90	0.001	0.0104	0.0812	0.012
91	0.001	0.0104	0.0802	0.0118
92	0.001	0.0103	0.0805	0.0118
93	0.001	0.0103	0.0824	0.0122
94	0.001	0.0102	0.0798	0.0116
95	0.001	0.0103	0.0792	0.0114
96	0.001	0.0102	0.0801	0.0116
97	0.001	0.0101	0.0791	0.0115
98	0.001	0.0101	0.0787	0.0114
99	0.001	0.01	0.079	0.0114
100	0.001	0.0101	0.078	0.0112
101	0.001	0.01	0.0793	0.0115
102	0.001	0.00994	0.0787	0.0113
103	0.001	0.00998	0.0788	0.0113
104	0.001	0.00995	0.0785	0.0112
105	0.001	0.0099	0.0781	0.0112
106	0.001	0.00989	0.0796	0.0115
107	0.001	0.00985	0.0776	0.011
108	0.001	0.00984	0.0779	0.0111
109	0.001	0.00982	0.0783	0.0112
110	0.001	0.00982	0.0782	0.0111
111	0.001	0.00977	0.078	0.0111
112	0.001	0.00976	0.0796	0.0114
113	0.001	0.00975	0.0775	0.011
114	0.001	0.00971	0.0778	0.011
115	0.001	0.00973	0.0825	0.0121
116	0.001	0.00968	0.0761	0.0107
117	0.001	0.00955	0.0782	0.0111
118	0.001	0.00954	0.0773	0.0109
119	0.001	0.0095	0.0765	0.0107
120	0.001	0.00947	0.0763	0.0107
121	0.001	0.00942	0.0761	0.0106
122	0.001	0.00939	0.0792	0.0113
123	0.001	0.00938	0.0757	0.0105
124	0.001	0.00934	0.0751	0.0104
125	0.001	0.00923	0.0751	0.0104
126	0.001	0.00926	0.0759	0.0105
127	0.001	0.00921	0.075	0.0103
128	0.001	0.00912	0.0749	0.0103
129	0.001	0.00919	0.0747	0.0103
130	0.001	0.0091	0.0746	0.0102
131	0.001	0.00911	0.0738	0.01
132	0.001	0.00902	0.0742	0.0101
133	0.001	0.009	0.0752	0.0103
134	0.001	0.00897	0.0738	0.01
135	0.001	0.00895	0.074	0.01
136	0.001	0.00889	0.0734	0.0099
137	0.001	0.00887	0.0736	0.00997
138	0.001	0.00886	0.0732	0.00987
139	0.001	0.00883	0.0731	0.00984
140	0.001	0.00883	0.0727	0.00974
141	0.001	0.00874	0.0729	0.00977
142	0.001	0.00873	0.0733	0.00987
143	0.001	0.0087	0.0724	0.00967
144	0.001	0.00863	0.0734	0.00987
145	0.001	0.00858	0.072	0.00956
146	0.001	0.00855	0.0715	0.00948
147	0.001	0.00852	0.0714	0.00948
148	0.001	0.00845	0.0717	0.00949
149	0.001	0.00844	0.0712	0.00944
150	0.001	0.00842	0.0711	0.00939
151	0.001	0.00836	0.0719	0.00952
152	0.001	0.00836	0.074	0.00998
153	0.001	0.00835	0.0707	0.00927
154	0.001	0.0083	0.0708	0.0093
155	0.001	0.00829	0.0705	0.00924
156	0.001	0.00825	0.0704	0.00921
157	0.001	0.00825	0.0701	0.00916
158	0.001	0.00825	0.0717	0.00948
159	0.001	0.00822	0.07	0.00912
160	0.001	0.00817	0.0704	0.00923
161	0.001	0.00819	0.0702	0.00917
162	0.001	0.00816	0.0711	0.00935
163	0.001	0.00814	0.0713	0.00938
164	0.001	0.00818	0.0696	0.00904
165	0.001	0.00812	0.0697	0.00906
166	0.001	0.00812	0.0701	0.00912
167	0.001	0.00807	0.071	0.00929
168	0.001	0.00806	0.0728	0.00963
169	0.001	0.00808	0.0708	0.00926
170	0.001	0.00801	0.0715	0.00939
171	0.001	0.00801	0.0689	0.00888
172	0.001	0.00801	0.0687	0.00883
173	0.001	0.00798	0.0691	0.00891
174	0.001	0.00795	0.069	0.00888
175	0.001	0.00795	0.0692	0.0089
176	0.001	0.00791	0.0696	0.00899
177	0.001	0.00789	0.069	0.00887
178	0.001	0.00789	0.069	0.00887
179	0.001	0.00787	0.0688	0.00883
180	0.001	0.00788	0.0686	0.00878
181	0.001	0.00788	0.0702	0.00908
182	0.001	0.00783	0.0695	0.00893
183	0.001	0.00786	0.0685	0.00875
184	0.001	0.00783	0.0684	0.00875
185	0.001	0.00781	0.0684	0.00873
186	0.001	0.00785	0.0685	0.00874
187	0.001	0.00778	0.0681	0.00865
188	0.001	0.00778	0.0681	0.00868
189	0.001	0.00776	0.0678	0.0086
190	0.001	0.00776	0.0686	0.00874
191	0.001	0.00774	0.0684	0.0087
192	0.001	0.00774	0.0685	0.00872
193	0.001	0.00774	0.0685	0.00872
194	0.001	0.00771	0.0687	0.00878
195	0.001	0.00768	0.0677	0.00856
196	0.001	0.00767	0.0675	0.00853
197	0.001	0.00766	0.068	0.00865
198	0.001	0.0077	0.0685	0.00874
199	0.001	0.00765	0.0685	0.00871
200	0.001	0.00766	0.0672	0.00847
201	0.001	0.00763	0.0684	0.00869
202	0.001	0.0076	0.0672	0.00846
203	0.001	0.00759	0.0683	0.00865
204	0.001	0.00759	0.0675	0.0085
205	0.001	0.00759	0.0667	0.00835
206	0.001	0.00756	0.0675	0.00849
207	0.001	0.00759	0.0677	0.00851
208	0.001	0.00753	0.0678	0.00854
209	0.001	0.00754	0.0668	0.00835
210	0.001	0.00752	0.0666	0.00832
211	0.001	0.00751	0.0679	0.00855
212	0.001	0.00751	0.0672	0.00842
213	0.001	0.00751	0.0669	0.00834
214	0.001	0.00748	0.0675	0.00847
215	0.001	0.00758	0.067	0.00839
216	0.001	0.00747	0.0668	0.00833
217	0.001	0.00748	0.0683	0.00858
218	0.001	0.00747	0.067	0.00837
219	0.001	0.00744	0.0684	0.00868
220	0.001	0.00743	0.0662	0.00821
221	0.001	0.00742	0.0671	0.00838
222	0.001	0.00744	0.0681	0.00856
223	0.001	0.00739	0.0664	0.00824
224	0.001	0.00742	0.0664	0.00822
225	0.001	0.00737	0.0707	0.0091
226	0.001	0.00737	0.0668	0.00833
227	0.001	0.00739	0.0666	0.00829
228	0.001	0.00733	0.0665	0.00826
229	0.001	0.00735	0.0667	0.00828
230	0.001	0.00734	0.0666	0.00825
231	0.001	0.00732	0.0668	0.0083
232	0.001	0.00733	0.0666	0.00824
233	0.001	0.00733	0.0672	0.00834
234	0.001	0.00727	0.0663	0.00819
235	0.001	0.00729	0.0673	0.00839
236	0.001	0.00728	0.0654	0.008
237	0.001	0.00728	0.0656	0.00806
238	0.001	0.00727	0.0663	0.00819
239	0.001	0.00727	0.0666	0.00825
240	0.001	0.00726	0.068	0.00853
241	0.001	0.00726	0.0654	0.00801
242	0.001	0.00726	0.0662	0.00816
243	0.001	0.00724	0.0662	0.00813
244	0.001	0.00721	0.067	0.0083
245	0.001	0.00723	0.0662	0.00818
246	0.001	0.0072	0.0651	0.00795
247	0.001	0.00718	0.0647	0.00788
248	0.001	0.00723	0.0656	0.00803
249	0.001	0.00721	0.0664	0.00815
250	0.001	0.00719	0.0658	0.00807
251	0.001	0.00716	0.0655	0.008
252	0.001	0.00716	0.0655	0.00802
253	0.001	0.00713	0.0654	0.00799
254	0.001	0.00714	0.0665	0.00819
255	0.001	0.00714	0.0653	0.00795
256	0.001	0.00712	0.065	0.00792
257	0.001	0.00712	0.0652	0.00794
258	0.001	0.00711	0.0654	0.00798
259	0.001	0.00711	0.065	0.00791
260	0.001	0.00709	0.065	0.0079
261	0.001	0.0071	0.0663	0.00814
262	0.001	0.00708	0.0647	0.00785
263	0.001	0.00706	0.0655	0.008
264	0.001	0.00707	0.0661	0.00809
265	0.001	0.00707	0.0646	0.00783
266	0.001	0.00706	0.0648	0.00786
267	0.001	0.00705	0.0654	0.00797
268	0.001	0.00707	0.065	0.00792
269	0.001	0.00704	0.0661	0.0081
270	0.001	0.00705	0.0647	0.00782
271	0.001	0.00702	0.065	0.00788
272	0.001	0.00704	0.0651	0.0079
273	0.001	0.00702	0.0664	0.00814
274	0.001	0.00703	0.0648	0.00787
275	0.001	0.00701	0.0646	0.0078
276	0.001	0.007	0.0646	0.0078
277	0.001	0.007	0.0652	0.00791
278	0.001	0.00706	0.0647	0.00782
279	0.001	0.00699	0.0752	0.00986
280	0.001	0.00701	0.0659	0.00804
